tag,uptimeMillis,rms,peak,dbfs,zeroRatio,readResult,callState,audioMode,outputDevice
AAWAZ_DIAG,186658309,369.2,2668,-39.0,0.733,2560,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186658822,958.4,3293,-30.7,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186659304,957.3,3411,-30.7,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186659811,849.5,3160,-31.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186660309,710.5,3434,-33.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186660797,562.7,3207,-35.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186661309,925.9,4899,-31.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186661807,600.7,2735,-34.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186662306,652.1,2397,-34.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186662790,980.0,5617,-30.5,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186663288,659.7,6397,-33.9,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186663789,589.4,2073,-34.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186664288,3182.4,18737,-20.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186664791,2788.2,15788,-21.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186665288,715.5,5597,-33.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186665790,538.6,2006,-35.7,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186666288,1570.9,12940,-26.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186666786,2248.8,10637,-23.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186667287,846.5,3970,-31.8,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186667789,333.1,1384,-39.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186668288,523.3,1870,-35.9,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186668789,365.8,1567,-39.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186669289,508.7,1891,-36.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186669786,429.6,1510,-37.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
